country,variety,price,points
US,Zinfandel,38.0,88
US,Zinfandel,38.0,88
Spain,Godello,25.0,88
Spain,"Red Blend",22.0,87
Argentina,Malbec,15.0,87
France,"Bordeaux-style Red Blend",20.0,87
France,"Bordeaux-style Red Blend",25.0,87
France,"Bordeaux-style Red Blend",20.0,87
France,"Bordeaux-style Red Blend",20.0,87
France,"Bordeaux-style Red Blend",25.0,87
US,Chardonnay,10.0,87
US,Malbec,18.0,87
US,Chardonnay,18.0,87
US,Riesling,14.0,87
US,Riesling,14.0,87
US,"Cabernet Franc",40.0,87
France,"Bordeaux-style Red Blend",18.0,87
France,"Bordeaux-style Red Blend",20.0,87
US,"Gewürztraminer",10.0,87
US,Merlot,11.0,87
US,"Cabernet Sauvignon",36.0,87
US,"Cabernet Franc",20.0,87
US,Grenache,32.0,87
Spain,"Sparkling Blend",18.0,87
Portugal,"Portuguese Red",55.0,93
Italy,Nebbiolo,49.0,93
US,Zinfandel,50.0,93
Italy,Nebbiolo,58.0,93
France,Riesling,39.0,93
France,Riesling,65.0,93
Morocco,Syrah-Grenache,35.0,93
Italy,Nebbiolo,80.0,93
France,Riesling,42.0,93
France,Riesling,61.0,93
US,G-S-M,58.0,93
US,"Mourvèdre",38.0,93
France,Riesling,48.0,93
US,Zinfandel,50.0,93
Italy,Nebbiolo,58.0,93
France,"Bordeaux-style White Blend",120.0,93
US,Syrah,50.0,93
US,"Cabernet Sauvignon",80.0,93
US,Syrah,40.0,93
Portugal,"Portuguese Red",41.0,93
US,"Cabernet Sauvignon",48.0,93
US,"Cabernet Sauvignon",200.0,93
US,"Petit Verdot",39.0,93
US,"Cabernet Sauvignon",62.0,93
Italy,Nebbiolo,43.0,93
France,Riesling,35.0,92
France,Riesling,48.0,92
France,Riesling,55.0,92
Portugal,"Portuguese Red",40.0,92
Italy,Nebbiolo,69.0,92
France,"Bordeaux-style Red Blend",16.0,88
France,"Bordeaux-style White Blend",16.0,88
France,"Bordeaux-style Red Blend",15.0,88
France,"Bordeaux-style White Blend",13.0,88
US,Chardonnay,28.0,88
US,"Pinot Noir",36.0,88
Romania,"Rosé",9.0,88
US,Chardonnay,24.0,88
US,"Rhône-style White Blend",30.0,88
US,Merlot,25.0,88
Italy,Nebbiolo,34.0,88
US,"Pinot Noir",60.0,88
US,"Pinot Noir",54.0,88
US,Muscat,15.0,88
Italy,Nebbiolo,56.0,88
US,"Sauvignon Blanc",20.0,88
US,"Pinot Noir",61.0,88
Italy,Nebbiolo,46.0,88
Spain,Tempranillo,30.0,88
Spain,"Tempranillo Blend",17.0,88
US,"Cabernet Sauvignon-Merlot",40.0,88
US,"Red Blend",39.0,88
Italy,Nebbiolo,49.0,88
France,"Sauvignon Blanc",23.0,88
US,"Pinot Grigio",16.0,88
US,"Mourvèdre",32.0,88
US,Chardonnay,18.0,88
Argentina,"Cabernet Sauvignon",15.0,88
France,"Pinot Noir",92.0,92
France,Chardonnay,94.0,92
US,Chardonnay,58.0,92
US,"Rhône-style Red Blend",50.0,92
US,"Sparkling Blend",48.0,92
US,"Pinot Noir",32.0,92
Italy,"Pinot Bianco",27.0,92
Portugal,Alvarinho,35.0,92
Portugal,"Portuguese White",95.0,92
US,"Pinot Noir",43.0,92
Italy,Garganega,33.0,92
Italy,Sauvignon,60.0,92
France,"Bordeaux-style Red Blend",30.0,92
US,"Cabernet Sauvignon",100.0,92
US,Syrah,35.0,92
France,Chardonnay,60.0,91
France,"Bordeaux-style Red Blend",16.0,91
France,Chardonnay,40.0,91
US,"Pinot Noir",60.0,91
France,"Pinot Noir",100.0,91
Portugal,"Touriga Nacional",18.0,91
US,"Pinot Gris",16.0,91
US,Syrah,42.0,91
US,"Pinot Noir",20.0,91
Italy,Sauvignon,25.0,91
Italy,"Pinot Grigio",23.0,91
US,"Pinot Noir",38.0,91
US,Zinfandel,32.0,91
US,Syrah,60.0,94
US,Riesling,30.0,94
Italy,"Red Blend",85.0,94
US,Riesling,30.0,94
US,"Pinot Noir",65.0,94
"New Zealand",Chardonnay,57.0,94
US,"Pinot Noir",90.0,94
US,"Pinot Noir",85.0,94
US,"Pinot Noir",70.0,94
US,"Pinot Noir",70.0,94
US,"Pinot Noir",60.0,94
Italy,Garganega,38.0,94
Italy,Garganega,29.0,94
US,"Cabernet Sauvignon",155.0,94
US,"Pinot Noir",48.0,94
US,"Cabernet Sauvignon",95.0,94
US,"Sparkling Blend",80.0,94
US,"Pinot Noir",49.0,94
France,Tannat-Cabernet,35.0,94
US,Syrah,50.0,94
France,"Provence red blend",44.0,94
Spain,"Tempranillo Blend",68.0,94
France,"Rosé",20.0,94
US,"Cabernet Sauvignon",95.0,94
France,"Provence red blend",44.0,94
Argentina,"Cabernet Sauvignon",50.0,94
France,"Rosé",100.0,94
France,Malbec,70.0,94
US,Chardonnay,63.0,94
Italy,Nebbiolo,75.0,91
Germany,Riesling,23.0,91
US,"Cabernet Sauvignon",50.0,91
Spain,"Albariño",22.0,91
US,"Sauvignon Blanc",45.0,91
Portugal,"Alicante Bouschet",130.0,91
US,"Rhône-style White Blend",38.0,91
US,"Pinot Noir",30.0,91
US,Syrah,22.0,91
Italy,Nebbiolo,90.0,91
US,"Cabernet Sauvignon",60.0,91
Italy,Nebbiolo,115.0,91
US,"Pinot Noir",55.0,91
Portugal,"Rhône-style Red Blend",30.0,91
Portugal,"Aragonês",14.0,91
US,Chardonnay,48.0,91
US,Chardonnay,40.0,91
Germany,Silvaner,39.0,91
Italy,Nebbiolo,60.0,91
US,Chardonnay,50.0,91
US,"Pinot Noir",48.0,91
France,Chardonnay,54.0,91
Portugal,"Portuguese Red",42.0,91
US,"Sparkling Blend",50.0,91
Israel,"Cabernet Sauvignon",40.0,91
US,Chardonnay,40.0,91
US,"Pinot Noir",42.0,91
Italy,Nebbiolo,85.0,91
Spain,Tempranillo,32.0,91
US,"Red Blend",41.0,90
US,"Ugni Blanc",27.0,90
US,"Grüner Veltliner",29.0,90
France,"Pinot Noir",33.0,90
France,"Pinot Noir",70.0,90
US,"Pinot Noir",19.0,90
Italy,Frappato,22.0,90
Germany,Lemberger,25.0,90
France,Sylvaner,27.0,90
France,Chasselas,22.0,90
France,"Alsace white blend",30.0,90
US,"Pinot Gris",15.0,90
US,"Pinot Noir",45.0,90
France,"Pinot Noir",80.0,90
US,"Albariño",18.0,90
Italy,Greco,19.0,90
Germany,Riesling,31.0,90
US,"Cabernet Sauvignon",15.0,90
US,"Cabernet Sauvignon",15.0,90
US,Merlot,24.0,90
US,"Red Blend",80.0,90
Spain,Tempranillo,35.0,90
Germany,"Früburgunder",40.0,90
Spain,Tempranillo,28.0,90
US,"Cabernet Sauvignon",50.0,90
US,"Cabernet Sauvignon",28.0,90
US,"Rhône-style Red Blend",36.0,90
US,"Cabernet Sauvignon",40.0,90
US,Chardonnay,50.0,90
US,"Cabernet Sauvignon",75.0,90
Italy,Sangiovese,60.0,90
US,Malbec,46.0,90
Canada,"Bordeaux-style Red Blend",70.0,90
Spain,"Albariño",26.0,90
Italy,Sangiovese,60.0,90
Italy,Sangiovese,75.0,90
Moldova,"White Blend",32.0,90
Italy,Sangiovese,95.0,90
Italy,Sangiovese,60.0,90
Italy,Sangiovese,70.0,90
US,"White Blend",20.0,90
France,"Rhône-style Red Blend",27.0,90
France,"Rhône-style Red Blend",20.0,90
US,"Cabernet Sauvignon",75.0,90
US,"Sauvignon Blanc",28.0,90
US,Chardonnay,60.0,90
US,Chardonnay,22.0,90
Spain,"White Blend",49.0,90
Hungary,Kekfrankos,35.0,90
Italy,Sangiovese,90.0,90
US,Chardonnay,30.0,90
US,"Cabernet Sauvignon",35.0,90
US,"Rhône-style Red Blend",38.0,90
US,Tempranillo,22.0,90
Italy,Sangiovese,30.0,90
Italy,"Red Blend",32.0,90
Italy,Sangiovese,35.0,90
US,"Cabernet Sauvignon",36.0,87
US,Zinfandel,30.0,87
US,"Cabernet Franc",20.0,87
US,Grenache,32.0,87
Spain,"Sparkling Blend",18.0,87
Spain,Tempranillo,27.0,87
US,"Sauvignon Blanc",20.0,87
US,Chardonnay,30.0,87
US,"Cabernet Sauvignon",20.0,87
US,"Cabernet Sauvignon",23.0,87
US,"Rhône-style White Blend",22.0,87
Italy,Sangiovese,75.0,87
Italy,Sangiovese,98.0,87
US,"Cabernet Sauvignon",20.0,87
US,Chardonnay,22.0,87
US,"White Blend",16.0,87
Italy,Vermentino,28.0,87
Spain,Sherry,25.0,87
Italy,"Red Blend",17.0,87
US,Riesling,17.0,87
Spain,Tempranillo,15.0,87
Spain,Sherry,16.0,87
Spain,"Tempranillo Blend",15.0,87
US,Tempranillo,38.0,87
Spain,"Red Blend",28.0,87
Italy,Sangiovese,52.0,87
Italy,Sangiovese,58.0,87
Italy,Sangiovese,60.0,87
Portugal,"Rosé",15.0,86
Italy,"White Blend",15.0,86
US,Chardonnay,26.0,86
US,Syrah,32.0,86
Portugal,"Portuguese Red",10.0,86
Argentina,"Sauvignon Blanc",10.0,86
US,Moscato,18.0,86
Portugal,"Portuguese White",12.0,86
US,"Rosé",35.0,86
US,Aglianico,34.0,86
Argentina,Malbec,23.0,86
"South Africa","Sauvignon Blanc",20.0,86
US,"Cabernet Sauvignon",31.0,86
US,Viognier,24.0,86
US,Merlot,12.0,86
US,"Pinot Noir",18.0,86
France,"White Blend",10.0,86
Argentina,Malbec,15.0,86
US,Chardonnay,24.0,86
Argentina,"Torrontés",14.0,86
US,"Sauvignon Blanc",14.0,86
Portugal,"Portuguese Red",15.0,86
US,Primitivo,38.0,86
Portugal,"Touriga Nacional",13.0,86
US,"Pinot Noir",12.0,86
US,"Red Blend",32.0,86
France,"Semillon-Sauvignon Blanc",15.0,86
US,Barbera,28.0,86
Portugal,"Portuguese Rosé",30.0,86
US,"Pinot Noir",49.0,89
Greece,Agiorgitiko,17.0,89
France,Grenache-Syrah,11.0,89
Italy,Sangiovese,43.0,89
France,"Red Blend",19.0,89
France,"White Blend",28.0,89
Germany,Riesling,26.0,89
US,Chardonnay,35.0,89
US,"Bordeaux-style Red Blend",30.0,89
Italy,"Cabernet Sauvignon",55.0,89
US,"Pinot Noir",46.0,89
US,"Pinot Noir",50.0,89
US,"Red Blend",43.0,89
Portugal,Syrah,45.0,89
US,Syrah,39.0,89
Italy,"Red Blend",30.0,89
Italy,"Cabernet Sauvignon",45.0,89
Spain,"Red Blend",23.0,89
France,Grenache-Syrah,15.0,89
US,Zinfandel,65.0,89
Chile,"Red Blend",19.0,89
US,Syrah,35.0,89
US,Zinfandel,60.0,89
US,"Pinot Noir",44.0,89
Spain,"Albariño",25.0,89
Italy,"Red Blend",30.0,89
Spain,Tempranillo,12.0,89
Spain,"Sparkling Blend",18.0,89
US,Chardonnay,30.0,92
Portugal,"Portuguese Red",23.0,92
US,Zinfandel,45.0,92
US,"Bordeaux-style Red Blend",125.0,92
US,"Cabernet Sauvignon",98.0,92
US,"Red Blend",40.0,92
Canada,Riesling,17.0,92
US,Chardonnay,60.0,92
Portugal,"Portuguese Red",70.0,92
US,Chardonnay,68.0,92
Portugal,Baga,40.0,92
US,Chardonnay,32.0,92
US,Syrah,45.0,92
US,Chardonnay,66.0,92
France,Riesling,29.0,92
France,Riesling,63.0,92
US,Chardonnay,32.0,92
US,Chardonnay,55.0,92
Hungary,Furmint,16.0,92
Italy,Nebbiolo,45.0,92
US,Viognier,20.0,92
Italy,Nebbiolo,50.0,92
France,"Bordeaux-style Red Blend",18.0,92
Portugal,"Portuguese Red",23.0,92
US,Chardonnay,32.0,92
Chile,"Bordeaux-style Red Blend",30.0,92
US,Viognier,35.0,92
US,Chardonnay,44.0,92
US,"Cabernet Franc",24.0,90
US,Zinfandel,20.0,90
Germany,Riesling,22.0,90
France,"Pinot Noir",50.0,90
France,"Pinot Noir",45.0,90
US,"Pinot Noir",23.0,90
US,"Pinot Noir",49.0,90
Germany,Riesling,17.0,90
US,Carignane,35.0,90
France,Chardonnay,59.0,90
France,Sylvaner,24.0,90
France,"White Blend",20.0,90
France,"Pinot Blanc",20.0,90
US,"Pinot Gris",18.0,90
US,Zinfandel,42.0,90
Italy,Moscato,22.0,90
Greece,Assyrtiko,20.0,90
US,"Pinot Noir",48.0,90
US,Chardonnay,30.0,90
US,"Cabernet Sauvignon",40.0,90
Spain,Tempranillo,20.0,90
Spain,"Tempranillo Blend",17.0,90
US,Merlot,22.0,90
Germany,Riesling,31.0,90
US,"Cabernet Sauvignon",15.0,90
US,"Cabernet Sauvignon",15.0,90
US,"Pinot Noir",62.0,94
US,"Pinot Noir",49.0,94
France,"Red Blend",25.0,94
US,"Cabernet Sauvignon",95.0,94
US,Chardonnay,55.0,94
US,Chardonnay,48.0,94
Italy,Friulano,35.0,94
France,Tannat-Cabernet,40.0,94
US,"Pinot Noir",68.0,94
US,"Pinot Noir",90.0,94
France,Malbec-Merlot,25.0,93
US,"Pinot Noir",60.0,93
Austria,"St. Laurent",21.0,93
US,"Bordeaux-style Red Blend",125.0,93
US,"Cabernet Sauvignon",85.0,93
US,"Pinot Noir",60.0,93
Spain,Tempranillo,64.0,93
Austria,Blauburgunder,19.0,93
Austria,"Blaufränkisch",25.0,93
US,Syrah,55.0,93
US,Chardonnay,58.0,93
US,"Pinot Noir",48.0,93
US,Zinfandel,40.0,93
US,Chardonnay,60.0,93
US,"Cabernet Sauvignon",120.0,93
US,"Cabernet Sauvignon",100.0,93
US,Zinfandel,34.0,93
Spain,"Red Blend",91.0,93
France,"Provence red blend",36.0,93
US,Zinfandel,40.0,91
US,Chardonnay,20.0,91
US,"Cabernet Sauvignon",55.0,91
Portugal,"Portuguese White",19.0,91
Italy,"Pinot Grigio",26.0,91
US,"Pinot Noir",45.0,91
Germany,Riesling,36.0,91
Germany,Riesling,23.0,91
Germany,Riesling,25.0,91
Germany,Scheurebe,21.0,91
Germany,Riesling,28.0,91
Italy,"White Blend",41.0,91
US,"Pinot Gris",26.0,91
US,Chardonnay,28.0,91
US,Chardonnay,38.0,91
US,"Red Blend",44.0,91
US,"Pinot Noir",45.0,91
Germany,Riesling,25.0,91
Germany,Riesling,38.0,91
Germany,Riesling,22.0,91
Germany,Riesling,26.0,91
Germany,Riesling,23.0,91
Germany,Riesling,23.0,91
US,"Sauvignon Blanc",50.0,91
Italy,Sauvignon,21.0,91
France,"Bordeaux-style Red Blend",25.0,91
Portugal,"Portuguese Red",16.0,91
France,Chardonnay,60.0,91
US,"Cabernet Sauvignon",38.0,90
Australia,"Pinot Noir",20.0,90
Italy,Nebbiolo,75.0,90
Portugal,"Portuguese Red",33.0,90
Italy,Nebbiolo,75.0,90
US,"Bordeaux-style Red Blend",64.0,90
US,"Gewürztraminer",18.0,90
Italy,Nebbiolo,75.0,90
Italy,Nebbiolo,30.0,90
Italy,Nebbiolo,42.0,90
Italy,Barbera,18.0,90
Spain,"Albariño",20.0,90
US,"Pinot Noir",40.0,90
France,Malbec,25.0,90
Portugal,"Portuguese White",19.0,90
US,"Gewürztraminer",18.0,90
US,"Rhône-style White Blend",30.0,90
France,"Red Blend",13.0,90
France,Chardonnay,45.0,90
Germany,Riesling,30.0,90
US,"Cabernet Sauvignon",111.0,90
Italy,Barbera,35.0,90
US,Tempranillo,32.0,90
Italy,Nebbiolo,88.0,90
US,"Pinot Noir",57.0,90
US,Grenache,34.0,90
US,Chardonnay,24.0,90
Italy,Nebbiolo,45.0,90
Italy,Nebbiolo,74.0,90
Australia,"Pinot Noir",42.0,88
France,"Sauvignon Blanc",27.0,88
Argentina,Malbec,25.0,88
France,"Sauvignon Blanc",35.0,88
US,Meritage,45.0,88
US,Grenache,30.0,88
France,"Bordeaux-style Red Blend",26.0,88
US,Chardonnay,39.0,88
France,"Sauvignon Blanc",25.0,88
Italy,Nebbiolo,80.0,88
US,"Pinot Noir",55.0,88
US,"Gewürztraminer",22.0,88
France,"Sauvignon Blanc",28.0,88
US,"Pinot Noir",25.0,88
US,"Pinot Noir",48.0,88
US,Viognier,19.0,88
Croatia,"White Blend",19.0,88
Italy,Nebbiolo,77.0,88
US,Chardonnay,18.0,88
France,"Bordeaux-style White Blend",25.0,88
France,"Bordeaux-style White Blend",18.0,88
US,Merlot,18.0,88
US,"Pinot Noir",65.0,88
US,Chardonnay,25.0,88
US,"Pinot Noir",48.0,88
France,"Pinot Noir",20.0,88
Spain,Tempranillo,11.0,88
US,"Cabernet Sauvignon",55.0,90
Spain,"Sparkling Blend",35.0,90
Bulgaria,Mavrud,26.0,90
US,Chardonnay,46.0,90
US,"Pinot Noir",55.0,90
US,"Pinot Noir",30.0,90
US,"Cabernet Franc",25.0,90
US,"Pinot Noir",27.0,90
US,Syrah,28.0,90
Italy,Sangiovese,62.0,90
US,Chardonnay,48.0,90
Italy,Sangiovese,80.0,90
US,"Sauvignon Blanc",36.0,90
US,"Red Blend",48.0,90
US,Chardonnay,60.0,90
Canada,Riesling,24.0,90
US,"Cabernet Franc",42.0,90
US,Sangiovese,45.0,90
US,Zinfandel,39.0,90
US,"Sauvignon Blanc",25.0,90
US,"Bordeaux-style Red Blend",40.0,90
Slovenia,"Ribolla Gialla",40.0,90
US,Charbono,40.0,90
Italy,Sangiovese,60.0,90
Canada,"Pinot Gris",19.0,90
US,"Cabernet Sauvignon",85.0,90
Spain,Palomino,26.0,90
Italy,"Red Blend",25.0,90
US,Tempranillo,15.0,90
France,"Rosé",24.0,90
US,"Red Blend",18.0,86
"South Africa","Sauvignon Blanc",35.0,86
Argentina,"Torrontés",26.0,86
Argentina,"Malbec-Cabernet Sauvignon",39.0,86
"South Africa","Sauvignon Blanc",11.0,86
US,"Red Blend",15.0,85
France,"Rosé",9.0,85
France,"Red Blend",16.0,85
US,"Cabernet Sauvignon",15.0,85
France,"Pinot Noir-Gamay",18.0,85
Italy,"Pinot Nero",9.0,85
Portugal,"Portuguese Red",11.0,85
France,"Rosé",12.0,85
France,Malbec,14.0,85
"South Africa","Sauvignon Blanc",10.0,85
US,"Cabernet Sauvignon",12.0,85
US,Merlot,18.0,85
Argentina,Malbec,14.0,85
Italy,Garganega,10.0,85
Argentina,"White Blend",13.0,85
Portugal,"Portuguese Red",10.0,85
"South Africa",Chardonnay,20.0,85
Argentina,"Bordeaux-style Red Blend",30.0,85
Spain,"Red Blend",50.0,85
"South Africa","Sauvignon Blanc",16.0,85
France,"Rhône-style Red Blend",11.0,85
Argentina,"Sparkling Blend",15.0,85
US,"Cabernet Sauvignon",65.0,85
Bulgaria,Chardonnay,9.0,85
Israel,Chardonnay,30.0,85
Spain,"Red Blend",26.0,89
US,Chardonnay,20.0,89
US,Riesling,25.0,89
US,Chardonnay,36.0,89
France,"Gros Manseng",14.0,89
US,Tempranillo,36.0,89
Italy,"Red Blend",23.0,89
US,"Petit Verdot",30.0,89
Italy,"Red Blend",28.0,89
Chile,"Cabernet Sauvignon",20.0,89
US,G-S-M,36.0,89
US,"Pinot Noir",45.0,89
US,"Pinot Gris",20.0,89
Chile,"Pinot Noir",20.0,89
Italy,"Red Blend",45.0,89
Chile,Syrah,20.0,89
US,"Pinot Noir",28.0,89
US,Syrah,42.0,89
Italy,"Cabernet Franc",110.0,89
Chile,"Cabernet Sauvignon",25.0,89
US,Riesling,14.0,89
US,"Rosé",18.0,89
US,"Red Blend",39.0,89
Italy,"Red Blend",90.0,89
Portugal,"Portuguese Red",18.0,89
Portugal,"Portuguese Red",7.0,89
Portugal,"Portuguese Red",17.0,89
Chile,"Sauvignon Blanc",17.0,89
France,"White Blend",20.0,89
Italy,Sangiovese,50.0,87
Italy,Sangiovese,87.0,87
US,"Cabernet Sauvignon",28.0,87
US,"Bordeaux-style Red Blend",36.0,87
France,"Bordeaux-style Red Blend",35.0,87
France,"Bordeaux-style Red Blend",30.0,87
US,"Bordeaux-style Red Blend",28.0,87
Italy,"Red Blend",20.0,87
US,Primitivo,18.0,87
US,"Red Blend",32.0,87
US,Merlot,28.0,87
US,Syrah,26.0,87
US,"Sauvignon Blanc",32.0,87
US,"Cabernet Sauvignon",11.0,87
US,"Rhône-style White Blend",26.0,87
US,Syrah,19.0,87
US,"Red Blend",22.0,87
US,"Bordeaux-style Red Blend",28.0,87
US,"Pinot Blanc",28.0,87
US,Zinfandel,20.0,87
US,"Red Blend",25.0,87
US,Chardonnay,16.0,87
US,"Gewürztraminer",18.0,87
US,"Cabernet Sauvignon",25.0,87
France,"Bordeaux-style Red Blend",10.0,87
Italy,Moscato,22.0,90
Greece,Assyrtiko,20.0,90
US,"Pinot Noir",48.0,90
US,Chardonnay,30.0,90
France,Chardonnay,59.0,90
France,Sylvaner,24.0,90
France,"White Blend",20.0,90
France,"Pinot Blanc",20.0,90
US,"Pinot Gris",18.0,90
US,"Cabernet Sauvignon",70.0,90
US,Riesling,25.0,90
Italy,"Nerello Mascalese",36.0,90
Australia,Shiraz,65.0,90
US,Merlot,42.0,90
US,"Cabernet Sauvignon",50.0,90
US,Negroamaro,28.0,90
US,"Mourvèdre",22.0,90
US,Barbera,26.0,90
US,"Red Blend",80.0,90
US,Tempranillo,28.0,90
Chile,"Red Blend",24.0,90
Spain,"Tempranillo Blend",21.0,90
US,"Rhône-style Red Blend",50.0,90
US,Zinfandel,40.0,90
US,Syrah,22.0,90
Germany,Riesling,30.0,90
US,"Cabernet Franc",50.0,90
US,"Cabernet Sauvignon",55.0,90
Spain,"Sparkling Blend",35.0,90
US,"Champagne Blend",37.0,90
US,Merlot,42.0,90
Spain,"Sparkling Blend",25.0,90
US,"Cabernet Sauvignon",60.0,90
